# Tab-separated values. Open with a spreadsheet app such as Excel.

# READ-ONLY. DO NOT MODIFY OR DELETE.

#Template Name	#Size (bytes)
GcPlayerEffectsComponentData	0x000000000000000C
GcAtlasRecvVoxel	0x000000000000000C
GcAudio3PointDopplerData	0x000000000000000C
GcBeenShotEvent	0x000000000000000C
GcDiscoveryHelperTimings	0x000000000000000C
GcInventorySpecialSlot	0x000000000000000C
GcLandingHelperComponentData	0x000000000000000C
GcMiningSubstanceData	0x000000000000000C
GcMissionConditionAIShipCount	0x000000000000000C
GcMissionConditionBaseClaimed	0x000000000000000C
GcMissionConditionFactionRank	0x000000000000000C
GcMissionConditionFreighterBattle	0x000000000000000C
GcMissionConditionHasProduct	0x000000000000000C
GcMissionConditionHasSubstance	0x000000000000000C
GcMissionConditionInventorySlots	0x000000000000000C
GcBuildingSpawnSlot	0x000000000000000C
GcRewardDestructRarities	0x000000000000000C
GcRewardFactionStanding	0x000000000000000C
GcRewardMoney	0x000000000000000C
GcRewardStanding	0x000000000000000C
GcRewardTeachWord	0x000000000000000C
GcStatsBonus	0x000000000000000C
GcStatValueData	0x000000000000000C
GcVehicleCheckpointComponentData	0x000000000000000C
TkCameraWanderData	0x000000000000000C
TkInOutCurve	0x000000000000000C
TkListedPaletteTexture	0x000000000000000C
Vector3f	0x000000000000000C
Vector3i	0x000000000000000C
Colour	0x0000000000000010
GcCustomisationGroups	0x0000000000000010
GcLegacyItemTable	0x0000000000000010
GcPlayerEmoteList	0x0000000000000010
GcCustomisationTextureOptions	0x0000000000000010
GcCustomisationPresets	0x0000000000000010
GcCustomisationDescriptorGroups	0x0000000000000010
GcTechList	0x0000000000000010
TkRawID	0x0000000000000010
GcMissionSchedulesTable	0x0000000000000010
TkResourceFilterList	0x0000000000000010
GcExpeditionRewardTable	0x0000000000000010
GcScanEffectComponentData	0x0000000000000010
GcFreighterBaseOptions	0x0000000000000010
GcProceduralProductTable	0x0000000000000010
GcFrigateTraitTable	0x0000000000000010
GcHazardAction	0x0000000000000010
GcProceduralTechnologyTable	0x0000000000000010
GcPurchaseableSpecials	0x0000000000000010
TkGeometryStreamData	0x0000000000000010
TkInteractivityData	0x0000000000000010
GcJourneyMedalTiers	0x0000000000000010
GcDiscoveryRewardLookupTable	0x0000000000000010
GcPlayerWeaponData	0x0000000000000010
GcInventoryClassCostMultiplier	0x0000000000000010
GcAISpaceshipModelDataArray	0x0000000000000010
GcMissionConditionIsMissionInProgress	0x0000000000000010
GcAISpaceshipPreloadCacheDataTable	0x0000000000000010
GcAlienPuzzleTable	0x0000000000000010
GcAlienSpeechTable	0x0000000000000010
GcAtlasGlobals	0x0000000000000010
GcAtmosphereList	0x0000000000000010
GcAudioAreaTriggerComponentData	0x0000000000000010
GcBiomeFileListOptions	0x0000000000000010
GcBuildingDensity	0x0000000000000010
GcButtonSpawnTable	0x0000000000000010
GcCameraSpawnSetupData	0x0000000000000010
GcCostJourneyMilestone	0x0000000000000010
GcCostMissionComplete	0x0000000000000010
GcCreatureAudioTable	0x0000000000000010
GcCreatureDataTable	0x0000000000000010
GcCreatureFilenameTable	0x0000000000000010
GcCreatureFootParticleData	0x0000000000000010
GcCreatureRoleDataTable	0x0000000000000010
GcCreatureRoleFilenameList	0x0000000000000010
GcDeprecatedAssetsTable	0x0000000000000010
GcDoShipFlybyClose	0x0000000000000010
GcEntitlementRewardsTable	0x0000000000000010
GcExplosionDataTable	0x0000000000000010
GcHeavyAirList	0x0000000000000010
GcInteractionBuffer	0x0000000000000010
GcInventoryClassProbabilities	0x0000000000000010
GcInventoryGenerationBaseStatClassData	0x0000000000000010
GcInventoryLayoutGenerationDataEntry	0x0000000000000010
GcItemCostTable	0x0000000000000010
GcJourney	0x0000000000000010
GcJourneyMilestoneTable	0x0000000000000010
GcLeveledStatTable	0x0000000000000010
GcMaintenanceGroup	0x0000000000000010
GcMissionConditionCanReceiveReward	0x0000000000000010
GcMissionConditionMissionCompleted	0x0000000000000010
GcMissionConditionMissionMessage	0x0000000000000010
GcMissionTable	0x0000000000000010
GcNGuiSpecialTextImages	0x0000000000000010
GcNGuiSpecialTextStyles	0x0000000000000010
GcPlayAnimAction	0x0000000000000010
GcPlayerDamageTable	0x0000000000000010
GcPlayerMissionProgressMapTable	0x0000000000000010
GcPlayerMissionUpgradeMapTable	0x0000000000000010
GcProductTable	0x0000000000000010
GcRewardAction	0x0000000000000010
GcRewardDamage	0x0000000000000010
GcRewardMultiSpecificProducts	0x0000000000000010
GcRewardSpecificTech	0x0000000000000010
GcRewardTrigger	0x0000000000000010
GcScanEventTable	0x0000000000000010
GcSeed	0x0000000000000010
GcSelectableObjectTable	0x0000000000000010
GcShipAIPerformanceArray	0x0000000000000010
GcSpaceSkyColourSettingList	0x0000000000000010
GcSpawnAction	0x0000000000000010
GcSpawnDensityList	0x0000000000000010
GcStatDefinitionTable	0x0000000000000010
GcStatGroupTable	0x0000000000000010
GcStats	0x0000000000000010
GcStyleProp_Colour	0x0000000000000010
GcTechnologyTable	0x0000000000000010
GcTextPresetTable	0x0000000000000010
GcTexturePrefetchData	0x0000000000000010
GcTileTypeOptions	0x0000000000000010
GcTileTypeSets	0x0000000000000010
GcVehicleScanTable	0x0000000000000010
GcWeatherColourSettingList	0x0000000000000010
GcWiki	0x0000000000000010
NMSString0x10	0x0000000000000010
TkActionButtonLookup	0x0000000000000010
TkAnimationDataTable	0x0000000000000010
TkAnimPoseExampleData	0x0000000000000010
TkButtonImageLookup	0x0000000000000010
TkControllerList	0x0000000000000010
