# Tab-separated values. Open with a spreadsheet app such as Excel.	
	
# READ-ONLY. DO NOT MODIFY OR DELETE.	
	
#Template Name	#Size (bytes)
GcInventoryBaseStatEntry	0x0000000000000014
GcInventoryClass	0x0000000000000004
GcInventoryClassProbabilities	0x0000000000000010
GcInventoryContainer	0x0000000000000060
GcInventoryCostData	0x0000000000000118
GcInventoryCostDataEntry	0x0000000000000028
GcInventoryElement	0x0000000000000030
GcInventoryGenerationBaseStatClassData	0x0000000000000010
GcInventoryGenerationBaseStatData	0x0000000000000040
GcInventoryGenerationBaseStatDataEntry	0x0000000000000020
GcInventoryIndex	0x0000000000000008
GcInventoryLayout	0x0000000000000020
GcInventoryLayoutGenerationData	0x00000000000001C0
GcInventoryLayoutGenerationDataEntry	0x0000000000000010
GcInventoryLayoutSizeType	0x0000000000000004
GcInventorySlotActionData	0x000000000000001C
GcInventorySpecialSlot	0x000000000000000C
GcInventorySpecialSlotType	0x0000000000000004
GcInventoryTable	0x00000000000006F0
GcInventoryTableEntry	0x0000000000000020
GcInventoryTechProbability	0x0000000000000018
GcInventoryType	0x0000000000000004
GcInventoryValueData	0x000000000000001C
GcItemCostData	0x0000000000000020
GcItemCostTable	0x0000000000000010
GcItemPriceModifiers	0x0000000000000014
GcJourney	0x0000000000000010
GcJourneyCategory	0x0000000000000180
GcJourneyCategoryType	0x0000000000000004
GcJourneyMedal	0x0000000000000214
GcJourneyMedalType	0x0000000000000004
GcJourneyMilestoneData	0x0000000000000038
GcJourneyMilestoneTable	0x0000000000000010
GcLandingHelperComponentData	0x000000000000000C
GcLaserBeamData	0x00000000000001A0
GcLegality	0x0000000000000004
GcLeveledStatData	0x00000000000003C0
GcLeveledStatTable	0x0000000000000010
GcLightProperties	0x0000000000000030
GcLootComponentData	0x0000000000000020
GcMaintenanceComponentData	0x00000000000000F0
GcMaintenanceContainer	0x000000000000007C
GcMaintenanceElement	0x0000000000000038
GcMaintenanceElementGroups	0x0000000000000004
GcMaintenanceGroup	0x0000000000000010
GcMaintenanceGroupEntry	0x0000000000000020
GcMaintenanceGroupsTable	0x0000000000000050
GcMarkerComponentData	0x0000000000000010
GcMessageCrime	0x0000000000000018
GcMessageProjectileImpact	0x0000000000000038
GcMetaBallComponentData	0x00000000000000C4
GcMiningComponentData	0x0000000000000008
GcMiningSubstanceData	0x000000000000000C
GcMissileComponentData	0x0000000000000024
GcMissionBoardOptions	0x0000000000000030
GcMissionCategory	0x0000000000000004
GcMissionConditionAIShipCount	0x000000000000000C
GcMissionConditionBaseClaimed	0x000000000000000C
GcMissionConditionBasePartBuilt	0x0000000000000018
GcMissionConditionBasePartNear	0x0000000000000018
GcMissionConditionBiomeType	0x0000000000000004
GcMissionConditionCanReceiveReward	0x0000000000000010
GcMissionConditionCriticalMissionsDone	0x0000000000000001
GcMissionConditionExtraSuitSlots	0x0000000000000004
GcMissionConditionFactionRank	0x000000000000000C
GcMissionConditionFreighterBattle	0x000000000000000C
GcMissionConditionGameMode	0x0000000000000004
GcMissionConditionGlobalMission	0x0000000000000004
GcMissionConditionGroup	0x0000000000000018
GcMissionConditionHasFuel	0x0000000000000008
GcMissionConditionHasGalacticFeature	0x0000000000000004
GcMissionConditionHasProduct	0x000000000000000C
GcMissionConditionHasSubstance	0x000000000000000C
GcMissionConditionHasTechnology	0x0000000000000004
GcMissionConditionInventorySlots	0x000000000000000C
GcMissionConditionIsAnomalyLoaded	0x0000000000000004
GcMissionConditionIsCurrentMission	0x0000000000000000
GcMissionConditionIsLookingAtAnomaly	0x0000000000000008
GcMissionConditionIsMissionInProgress	0x0000000000000010
GcMissionConditionIsPlayerWanted	0x0000000000000008
GcMissionConditionIsScanEventLocal	0x0000000000000020
GcMissionConditionIsTechnologyRepaired	0x0000000000000004
GcMissionConditionLocation	0x0000000000000004
GcMissionConditionMissionCompleted	0x0000000000000010
GcMissionConditionMissionMessage	0x0000000000000010
GcMissionConditionMissionMessageWarp	0x0000000000000000
GcMissionConditionNPCHabitationHasWorker	0x0000000000000004
GcMissionConditionNumAtlasStationsVisited	0x0000000000000008
GcMissionConditionPercentageChance	0x0000000000000008
GcMissionConditionProductKnown	0x0000000000000004
GcMissionConditionStatLevel	0x0000000000000028
GcMissionConditionSystemRace	0x0000000000000004
GcMissionConditionTechnologyKnown	0x0000000000000004
GcMissionConditionTest	0x0000000000000004
GcMissionConditionTotalWarpsNumber	0x0000000000000004
GcMissionConsequenceRemoveCommunicatorMessage	0x0000000000000020
GcMissionConsequenceRemoveScanEvent	0x0000000000000020
GcMissionDifficulty	0x0000000000000004
GcMissionFaction	0x0000000000000004
GcMissionGalacticFeature	0x0000000000000004
GcMissionGalacticPoint	0x0000000000000004
GcMissionPageHint	0x0000000000000004
GcMissionSequenceAudioEvent	0x0000000000000084
GcMissionSequenceBounty	0x0000000000000210
GcMissionSequenceBuild	0x0000000000000118
GcMissionSequenceCollectProduct	0x0000000000000138
GcMissionSequenceCollectSubstance	0x0000000000000138
GcMissionSequenceCommunicator	0x00000000000001B0
GcMissionSequenceDiscover	0x0000000000000110
GcMissionSequenceDoMissionsForFaction	0x0000000000000110
GcMissionSequenceEndScanEvent	0x00000000000000A0
GcMissionSequenceFinishSummonAnomaly	0x0000000000000080
GcMissionSequenceFreighterDefend	0x0000000000000100
GcMissionSequenceFreighterEngage	0x0000000000000220
GcMissionSequenceGatherForBuild	0x0000000000000120
GcMissionSequenceGatherForRefuel	0x0000000000000108
GcMissionSequenceGatherForRepair	0x0000000000000118
GcMissionSequenceGetInShip	0x0000000000000100
GcMissionSequenceGetToScanEvent	0x0000000000000230
GcMissionSequenceGetUnits	0x0000000000000104
GcMissionSequenceGetUnitsToBuyItem	0x0000000000000110
GcMissionSequenceGoToGalacticPoint	0x0000000000000104
GcMissionSequenceGroup	0x00000000000001D8
GcMissionSequenceKill	0x000000000000010C
GcMissionSequenceLearnWords	0x0000000000000104
GcMissionSequenceMarker	0x0000000000000080
GcMissionSequencePirates	0x0000000000000080
GcMissionSequenceProductAmountNeeded	0x0000000000000128
GcMissionSequenceReward	0x0000000000000110
GcMissionSequenceScan	0x0000000000000108
GcMissionSequenceSetCurrentMission	0x0000000000000090
GcMissionSequenceSetGlobalMission	0x0000000000000084
GcMissionSequenceShowMessage	0x0000000000000230
GcMissionSequenceShowMissionUpdateMessage	0x0000000000000088
GcMissionSequenceSignalGalacticPoint	0x0000000000000104
GcMissionSequenceStartMission	0x0000000000000098
GcMissionSequenceStartScanEvent	0x00000000000000B0
GcMissionSequenceStartSummonAnomaly	0x0000000000000088
GcMissionSequenceStop	0x0000000000000100
GcMissionSequenceTeleport	0x0000000000000110
GcMissionSequenceWait	0x0000000000000084
GcMissionSequenceWaitForBuild	0x0000000000000110
GcMissionSequenceWaitForCompletionMessage	0x0000000000000100
GcMissionSequenceWaitForConditions	0x0000000000000118
GcMissionSequenceWaitForDepots	0x0000000000000108
GcMissionSequenceWaitForFactionStanding	0x0000000000000110
GcMissionSequenceWaitForFreighterPods	0x0000000000000104
GcMissionSequenceWaitForMessage	0x0000000000000110
GcMissionSequenceWaitForPortalWarp	0x0000000000000101
GcMissionSequenceWaitForRefuel	0x0000000000000108
GcMissionSequenceWaitForRepair	0x0000000000000104
GcMissionSequenceWaitForScanEvent	0x0000000000000228
GcMissionSequenceWaitForShips	0x0000000000000108
GcMissionSequenceWaitForStat	0x0000000000000128
GcMissionSequenceWaitForSuitUpgrade	0x0000000000000080
